,Type,AgeGroup,PureBreed,Gender,HasPrincipalColors,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,SimpleQuantity,FreeAdoption,State,HasVideo,HasPhoto,DescriptionPartial,Adoption
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,2.0,1.0
1,2.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
2,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
3,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,41401.0,1.0,0.0,1.0,1.0
4,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
5,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
6,2.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,41326.0,1.0,0.0,3.0,1.0
7,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,1.0
8,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
9,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,0.0
10,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
11,2.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,3.0,1.0
12,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
13,2.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,1.0
14,1.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
15,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,0.0
16,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
17,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,41330.0,1.0,0.0,2.0,0.0
18,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,3.0,1.0
19,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,0.0
20,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
21,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,0.0
22,2.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,41401.0,1.0,1.0,1.0,0.0
23,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,1.0,2.0,0.0
24,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
25,2.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
26,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41401.0,1.0,0.0,1.0,1.0
27,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
28,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,1.0,2.0,1.0
29,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,41327.0,1.0,0.0,2.0,1.0
30,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,1.0
31,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41361.0,1.0,0.0,1.0,1.0
32,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,0.0
33,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,1.0
34,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,41327.0,1.0,0.0,1.0,0.0
35,2.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
36,2.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,0.0
37,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
38,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,41336.0,1.0,0.0,2.0,1.0
39,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,1.0,1.0
40,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
41,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,1.0
42,2.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,41326.0,1.0,0.0,1.0,1.0
43,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41401.0,1.0,0.0,2.0,1.0
44,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,41336.0,1.0,0.0,2.0,0.0
45,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,0.0
46,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
47,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,0.0
48,1.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,41326.0,1.0,0.0,1.0,1.0
49,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,41326.0,1.0,0.0,3.0,1.0
50,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,41326.0,1.0,0.0,2.0,1.0
51,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,41401.0,1.0,0.0,1.0,0.0
52,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,41326.0,1.0,0.0,2.0,1.0
53,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,41326.0,1.0,0.0,3.0,0.0
54,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,41326.0,1.0,1.0,2.0,1.0
55,2.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,41401.0,1.0,0.0,2.0,1.0
56,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,41326.0,1.0,0.0,3.0,0.0
