,State,AgeGroup,DescriptionPartial,Gender,FurLength,MaturitySize,Adoption
0,41326.0,1.0,2.0,1.0,1.0,1.0,1.0
1,41401.0,0.0,1.0,1.0,2.0,2.0,1.0
2,41326.0,0.0,2.0,1.0,2.0,2.0,1.0
3,41401.0,2.0,1.0,2.0,1.0,2.0,1.0
4,41326.0,0.0,3.0,1.0,1.0,2.0,1.0
5,41326.0,1.0,1.0,2.0,1.0,2.0,1.0
6,41326.0,2.0,3.0,1.0,3.0,2.0,1.0
7,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
8,41326.0,0.0,1.0,2.0,2.0,2.0,1.0
9,41326.0,2.0,2.0,2.0,2.0,2.0,0.0
10,41401.0,0.0,1.0,1.0,1.0,2.0,1.0
11,41326.0,1.0,3.0,2.0,3.0,3.0,1.0
12,41326.0,0.0,2.0,1.0,3.0,2.0,1.0
13,41326.0,0.0,3.0,3.0,2.0,1.0,1.0
14,41401.0,1.0,2.0,2.0,2.0,2.0,1.0
15,41326.0,3.0,2.0,1.0,2.0,2.0,0.0
16,41326.0,2.0,1.0,2.0,1.0,1.0,1.0
17,41330.0,2.0,2.0,2.0,1.0,2.0,0.0
18,41401.0,0.0,3.0,2.0,1.0,2.0,1.0
19,41326.0,0.0,3.0,3.0,1.0,1.0,0.0
20,41326.0,2.0,3.0,2.0,2.0,2.0,1.0
21,41326.0,1.0,1.0,2.0,1.0,2.0,0.0
22,41401.0,0.0,1.0,3.0,2.0,2.0,0.0
23,41326.0,2.0,2.0,2.0,2.0,2.0,0.0
24,41401.0,1.0,2.0,1.0,1.0,1.0,1.0
25,41326.0,3.0,2.0,1.0,2.0,3.0,1.0
26,41401.0,0.0,1.0,1.0,2.0,2.0,1.0
27,41326.0,0.0,1.0,2.0,1.0,2.0,1.0
28,41326.0,3.0,2.0,1.0,1.0,3.0,1.0
29,41327.0,0.0,2.0,2.0,1.0,1.0,1.0
30,41326.0,2.0,2.0,3.0,2.0,1.0,1.0
31,41361.0,0.0,1.0,1.0,1.0,1.0,1.0
32,41326.0,3.0,2.0,1.0,1.0,2.0,0.0
33,41326.0,2.0,2.0,2.0,1.0,1.0,1.0
34,41327.0,1.0,1.0,2.0,1.0,1.0,0.0
35,41326.0,2.0,1.0,2.0,3.0,2.0,1.0
36,41326.0,3.0,1.0,2.0,2.0,2.0,0.0
37,41326.0,0.0,2.0,2.0,2.0,1.0,1.0
38,41336.0,2.0,2.0,1.0,1.0,2.0,1.0
39,41326.0,2.0,1.0,1.0,2.0,2.0,1.0
40,41326.0,0.0,3.0,2.0,2.0,2.0,1.0
41,41326.0,0.0,1.0,3.0,1.0,1.0,1.0
42,41326.0,3.0,1.0,2.0,3.0,2.0,1.0
43,41401.0,2.0,2.0,1.0,1.0,2.0,1.0
44,41336.0,2.0,2.0,1.0,2.0,2.0,0.0
